Similarity	Species	Sequence
58.11	Hery	protein
72.22	Hery	protein
11.11	Hery	protein
61.7	Hery	protein
47.54	Hery	protein
98.57	Hery	protein
64.86	Hery	protein
76.32	Hery	protein
0	Hery	protein
0	Hery	protein
64.29	Hery	protein
74.58	Hery	protein
0	Hery	protein
0	Hery	protein
89.77	Hery	protein
64.44	Hery	protein
60.8	Hery	protein
79.71	Hery	protein
72.95	Hery	protein
78.21	Hery	protein
77.45	Hery	protein
65.17	Hery	protein
62.1	Hery	protein
79.1	Hery	protein
72.5	Hery	protein
81.82	Hery	protein
83.17	Hery	protein
94.85	Hery	protein
62.5	Hery	protein
72.41	Hery	protein
100	Hery	protein
73.68	Hery	protein
80.26	Hery	protein
83	Hery	protein
81.66	Hery	protein
85.12	Hery	protein
65.28	Hery	protein
75	Hery	protein
100	Hery	protein
73.68	Hery	protein
84.81	Hery	protein
82.52	Hery	protein
79.53	Hery	protein
82.94	Hery	protein
85.8	Hery	protein
65.28	Hery	protein
68.8	Hery	protein
56.67	Hery	protein
60.24	Hery	protein
84.81	Hery	protein
82.52	Hery	protein
74.11	Hery	protein
77.32	Hery	protein
84.02	Hery	protein
95.93	Hery	protein
64.71	Hery	protein
62.35	Hery	protein
66.67	Hery	protein
67.21	Hery	protein
66.67	Hery	protein
80.77	Hery	protein
68.11	Hery	protein
70.49	Hery	protein
81.36	Hery	protein
85.12	Hery	protein
78.23	Hery	protein
70	Hery	protein
69.6	Hery	protein
66.67	Hery	protein
68.85	Hery	protein
81.01	Hery	protein
82.52	Hery	protein
72.03	Hery	protein
75.11	Hery	protein
83.43	Hery	protein
88.95	Hery	protein
82.32	Hery	protein
94.71	Hery	protein
75	Htub	protein
76.25	Htub	protein
89.05	Htub	protein
76	Htub	protein
89.29	Htub	protein
90.09	Htub	protein
77.5	Htub	protein
86.57	Htub	protein
88.19	Htub	protein
90.09	Htub	protein
80.26	Htub	protein
87.82	Htub	protein
88.5	Htub	protein
89.59	Htub	protein
90.71	Htub	protein
78.75	Htub	protein
86.57	Htub	protein
89.57	Htub	protein
88.89	Htub	protein
90	Htub	protein
91.23	Htub	protein
77.5	Htub	protein
85.54	Htub	protein
86.15	Htub	protein
87.89	Htub	protein
89.74	Htub	protein
92.47	Htub	protein
88.95	Htub	protein
78.75	Htub	protein
88.56	Htub	protein
89.03	Htub	protein
90.09	Htub	protein
90.3	Htub	protein
91.67	Htub	protein
90.09	Htub	protein
92.93	Htub	protein
76.25	Htub	protein
83.58	Htub	protein
86.08	Htub	protein
89.22	Htub	protein
89.87	Htub	protein
89.47	Htub	protein
89.22	Htub	protein
89.39	Htub	protein
90.42	Htub	protein
77.5	Htub	protein
85.57	Htub	protein
87.76	Htub	protein
91.38	Htub	protein
90.72	Htub	protein
89.47	Htub	protein
90.09	Htub	protein
89.39	Htub	protein
90.42	Htub	protein
97.5	Htub	protein
81.25	Htub	protein
85.07	Htub	protein
86.08	Htub	protein
87.93	Htub	protein
89.03	Htub	protein
89.47	Htub	protein
88.36	Htub	protein
90.4	Htub	protein
90	Htub	protein
88.33	Htub	protein
89.17	Htub	protein
76.25	Htub	protein
84.58	Htub	protein
85.65	Htub	protein
88.36	Htub	protein
88.61	Htub	protein
89.91	Htub	protein
89.22	Htub	protein
93.43	Htub	protein
93.33	Htub	protein
90.83	Htub	protein
90.83	Htub	protein
89.58	Htub	protein
78.75	Htub	protein
84.58	Htub	protein
86.08	Htub	protein
87.93	Htub	protein
89.45	Htub	protein
90.79	Htub	protein
91.38	Htub	protein
91.92	Htub	protein
90.42	Htub	protein
90.42	Htub	protein
91.25	Htub	protein
92.08	Htub	protein
91.67	Htub	protein
70	Htub	protein
82.87	Htub	protein
85.25	Htub	protein
86.79	Htub	protein
88.94	Htub	protein
90.38	Htub	protein
90.57	Htub	protein
91.57	Htub	protein
