H_ery_ID	peak_count	sig_peak_count	proportion_sig	SPU.hit	SPU.common_name	common_name	SPU.family	SPU.description	GRN	DE	PMC	sig_peak_count_ns	proportion_sig_ns
HER_43376.t1	1	0	0	SPU_019033	Sp-Ncstn	Ncstn	none	nicastrin, nct, Nic, argo, Sp-Nstrn	FALSE	TRUE	FALSE	0	0
HER_43411.t1	2	0	0	SPU_017058	Sp-Cbs	Cbs	none	Cystathionine beta-synthase (Serine sulfhydrase) (Beta-thionase)	FALSE	TRUE	FALSE	0	0
HER_43412.t1	6	0	0	SPU_009318	Sp-SnsL	SnsL	adhesion receptor	none	FALSE	TRUE	FALSE	0	0
HER_39173.t1.1.5f2c686a	3	0	0	SPU_007198	Sp-Hypp_1704	Hypp_1704	none	hypothetical protein-1704	FALSE	TRUE	FALSE	1	0.333333333333333
HER_43413.t1	1	0	0	SPU_007532	Sp-KirreL3	KirreL3	IG superfamily	kin of IRRE like 3 (Drosophila)	FALSE	TRUE	FALSE	0	0
HER_43414.t1	4	0	0	SPU_007533	Sp-Lhh2af	Lhh2af	histone	none	FALSE	TRUE	FALSE	0	0
HER_43415.t2	1	0	0	SPU_007530	Sp-Chk1	Chk1	cyclin dependent kinase	checkpoint kinase 1, Chek1, grapes (grp) homolog	FALSE	TRUE	FALSE	0	0
HER_37512.t1	2	0	0	SPU_003823	Sp-Ugt2b6	Ugt2b6	none	UDP-glucuronosyltransferase 2B6 precursor (UDPGT) (17-beta-hydroxysteroid specific) (UDPGTR-5)	FALSE	TRUE	FALSE	0	0
HER_43462.t1	3	3	1	SPU_023295	Sp-Ddx6	Ddx6	DEAD box helicase	ATP dependant RNA helicase p54, rck oncogene	FALSE	TRUE	FALSE	0	0
HER_43465.t1	1	0	0	SPU_017246	Sp-Hypp_3049	Hypp_3049	none	hypothetical protein-3049	FALSE	FALSE	FALSE	0	0
HER_39173.t1	3	0	0	SPU_007198	Sp-Hypp_1704	Hypp_1704	none	hypothetical protein-1704	FALSE	TRUE	FALSE	0	0
HER_43501.t1	1	0	0	SPU_021019	Sp-Fn3f_29	Fn3f_29	adhesion protein	none	FALSE	FALSE	FALSE	0	0
HER_43507.t1	1	0	0	SPU_013793	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43509.t1	1	0	0	SPU_004672	Sp-Hypp_423	Hypp_423	WD40 superfamily	hypothetical protein-423	FALSE	FALSE	FALSE	0	0
HER_43527.t1	1	0	0	SPU_015869	Sp-Oaf	Oaf	none	out at first, oaf	FALSE	FALSE	FALSE	0	0
HER_43528.t1	5	0	0	SPU_015870	Sp-Rpip1	Rpip1	none	ribosomal protein P1	FALSE	TRUE	FALSE	0	0
HER_43530.t1	1	0	0	SPU_008645	Sp-Pafah1L	Pafah1L	SGNH_hydrolase superfamily	platelet-activating factor acetylhydrolase 1-like	FALSE	TRUE	FALSE	0	0
HER_43535.t2	2	0	0	SPU_024524	Sp-Ttc3	Ttc3	TPR superfamily	tetratricopeptide repeat domain 3	FALSE	FALSE	FALSE	0	0
HER_43546.t1	8	1	0.125	SPU_007493	Sp-App	App	amyloid beta A4 protein 	APP	FALSE	TRUE	FALSE	1	0.125
HER_43609.t1	3	1	0.333333333333333	SPU_006614	Sp-RoboL2	RoboL2	Robo receptor	roundabout (robo) homolog, Sp-RoboL, Sp-RoboL_2	FALSE	TRUE	FALSE	0	0
HER_43610.t1	1	0	0	SPU_006616	Sp-Negr1L	Negr1L	IG superfamily	neuronal growth regulator 1-like	FALSE	TRUE	FALSE	0	0
HER_43613.t1	2	0	0	SPU_007465	Sp-Adrb2L_2	Adrb2L_2	7TM GPCR_1 superfamily	adrenergic receptor, beta 2-like-2	FALSE	FALSE	FALSE	0	0
HER_43620.t1	1	0	0	SPU_007466	none	NA	none	none	FALSE	TRUE	FALSE	0	0
HER_43621.t1	2	0	0	SPU_007464	Sp-Tomm70a	Tomm70a	TPR superfamily	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)	FALSE	FALSE	FALSE	0	0
